ID,SourceCurrency,DestinationCurrency,SourceAmount
1,USD,EUR,1000
2,EUR,AUD,2050.5
3,EUR,AUD,2051.5
4,EUR,INR,2052.5
5,USD,EUR,2578.25
6,EUR,AUD,2894.1
7,EUR,AUD,3209.95
8,EUR,INR,3525.8
9,USD,EUR,3841.65
10,EUR,AUD,4157.5
11,EUR,AUD,4473.35
12,EUR,INR,4789.2
13,USD,EUR,5105.05
14,EUR,AUD,5420.9
15,EUR,AUD,5736.75
16,EUR,INR,6052.6
17,USD,EUR,6368.45
18,EUR,AUD,6684.3
19,EUR,AUD,7000.15
20,EUR,INR,7316
21,USD,EUR,7631.85
22,EUR,AUD,7947.7
23,EUR,AUD,8263.55
24,EUR,INR,8579.4
25,USD,EUR,8895.25
26,EUR,AUD,9211.1
27,EUR,AUD,9526.95
28,EUR,INR,9842.8
29,USD,EUR,10158.65
30,EUR,AUD,10474.5
31,EUR,AUD,10790.35
32,EUR,INR,11106.2
33,USD,EUR,11422.05
34,EUR,AUD,11737.9
35,EUR,AUD,12053.75
36,EUR,INR,12369.6
37,USD,EUR,12685.45
38,EUR,AUD,13001.3
39,EUR,AUD,13317.15
40,EUR,INR,13633
41,USD,EUR,13948.85
42,EUR,AUD,14264.7
43,EUR,AUD,14580.55
44,EUR,INR,14896.4
45,USD,EUR,15212.25
46,EUR,AUD,15528.1
47,EUR,AUD,15843.95
48,EUR,INR,16159.8
49,USD,EUR,16475.65
50,EUR,AUD,16791.5
51,EUR,AUD,17107.35
52,EUR,INR,17423.2
53,USD,EUR,17739.05
54,EUR,AUD,18054.9
55,EUR,AUD,18370.75
56,EUR,INR,18686.6
57,USD,EUR,19002.45
58,EUR,AUD,19318.3
59,EUR,AUD,19634.15
60,EUR,INR,19950
61,USD,EUR,20265.85
62,EUR,AUD,20581.7
63,EUR,AUD,20897.55
64,EUR,INR,21213.4
65,USD,EUR,21529.25
66,EUR,AUD,21845.1
67,EUR,AUD,22160.95
68,EUR,INR,22476.8
69,USD,EUR,22792.65
70,EUR,AUD,23108.5
71,EUR,AUD,23424.35
72,EUR,INR,23740.2
73,USD,EUR,24056.05
74,EUR,AUD,24371.9
75,EUR,AUD,24687.75
76,EUR,INR,25003.6
77,USD,EUR,25319.45
78,EUR,AUD,25635.3
79,EUR,AUD,25951.15
80,EUR,INR,26267
81,USD,EUR,26582.85
82,EUR,AUD,26898.7
83,EUR,AUD,27214.55
84,EUR,INR,27530.4
85,USD,EUR,27846.25
86,EUR,AUD,28162.1
87,EUR,AUD,28477.95
88,EUR,INR,28793.8
89,USD,EUR,29109.65
90,EUR,AUD,29425.5
91,EUR,AUD,29741.35
92,EUR,INR,30057.2
93,USD,EUR,30373.05
94,EUR,AUD,30688.9
95,EUR,AUD,31004.75
96,EUR,INR,31320.6
97,USD,EUR,31636.45
98,EUR,AUD,31952.3
99,EUR,AUD,32268.15
100,EUR,INR,32584
101,USD,EUR,32899.85
102,EUR,AUD,33215.7
103,EUR,AUD,33531.55
104,EUR,INR,33847.4
105,USD,EUR,34163.25
106,EUR,AUD,34479.1
107,EUR,AUD,34794.95
108,EUR,INR,35110.8
109,USD,EUR,35426.65
110,EUR,AUD,35742.5
111,EUR,AUD,36058.35
112,EUR,INR,36374.2
113,USD,EUR,36690.05
114,EUR,AUD,37005.9
115,EUR,AUD,37321.75
116,EUR,INR,37637.6
117,USD,EUR,37953.45
118,EUR,AUD,38269.3
119,EUR,AUD,38585.15
120,EUR,INR,38901
121,USD,EUR,39216.85
122,EUR,AUD,39532.7
123,EUR,AUD,39848.55
124,EUR,INR,40164.4
125,USD,EUR,40480.25
126,EUR,AUD,40796.1
127,EUR,AUD,41111.95
128,EUR,INR,41427.8
129,USD,EUR,41743.65
130,EUR,AUD,42059.5
131,EUR,AUD,42375.35
132,EUR,INR,42691.2
133,USD,EUR,43007.05
134,EUR,AUD,43322.9
135,EUR,AUD,43638.75
136,EUR,INR,43954.6
137,USD,EUR,44270.45
138,EUR,AUD,44586.3
139,EUR,AUD,44902.15
140,EUR,INR,45218
141,USD,EUR,45533.85
142,EUR,AUD,45849.7
143,EUR,AUD,46165.55
144,EUR,INR,46481.4
145,USD,EUR,46797.25
146,EUR,AUD,47113.1
147,EUR,AUD,47428.95
148,EUR,INR,47744.8
149,USD,EUR,48060.65
150,EUR,AUD,48376.5
151,EUR,AUD,48692.35
152,EUR,INR,49008.2
153,USD,EUR,49324.05
154,EUR,AUD,49639.9
155,EUR,AUD,49955.75
156,EUR,INR,50271.6
157,USD,EUR,50587.45
158,EUR,AUD,50903.3
159,EUR,AUD,51219.15
160,EUR,INR,51535
161,USD,EUR,51850.85
162,EUR,AUD,52166.7
163,EUR,AUD,52482.55
164,EUR,INR,52798.4
165,USD,EUR,53114.25
166,EUR,AUD,53430.1
167,EUR,AUD,53745.95
168,EUR,INR,54061.8
169,USD,EUR,54377.65
170,EUR,AUD,54693.5
171,EUR,AUD,55009.35
172,EUR,INR,55325.2
